,Comment
1034,"Ye sach mein standup comedian hai ??
Isse accha standup comedian mera class ke bache hai"
1332,"badwe ko pakistan jaana chahiye, wha gaand marayega tab jamjhega bsdk ko"
573,"*Kamra:* I used the stones to destroy the stones
*Carry's Fans :* Muh se muungfali tuut nhi rahi hai gaand se akhrot todega kya."
1824,Comments are more funnier than his jokes face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1115,Carry sparkling_heartsparkling_heartsparkling_heart
1788,"Dislike le le face_with_tears_of_joyrolling_on_the_floor_laughing

OOOOOOhhhface_screaming_in_fearface_screaming_in_fearface_screaming_in_fearface_screaming_in_fearface_screaming_in_fear...."
1715,7:29 tou jao na hum bhii pareshan hain aur woh bhii ja na
2110,I think he is about to break the record of faju face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
216,It’s like  kamra teaching his father how to f###
1146,Level pe ajja uncle
1946,Khud ki hi editing karke maje leraha he kya bhai...??face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1529,Like krne wale tiktoker hai face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy dislike wale to legend hai bhaiiii
1444,Ravis ji se fatte h BJP Ki.......
332,"Kunal.. You shouldn't have come into this YouTube Vs TikTok shit..
You are an intellectual person.. 
Bachhon ko krne do ye sb yaar.."
1329,In some case kunal is right he's only roast poor ppl....tqu kunal bhai
822,This comment section is more funnier than his so called rosting
1411,"1.4m dislikes new_moon_face
This is why you should stop poking your nose everywhere new_moon_face"
1869,"2.4 million dislikes 
 Me to other audience: Ma chod diye bhaiyaji aap toh face_with_tears_of_joy"
1999,"Ok ...
I laughed face_with_tears_of_joyface_with_tears_of_joy
Only coz of the comments section"
143,*Burnol moment for Arnab and Pee News*
431,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaarrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrryyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaammmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
913,"This video is a representation of ""success se gand jali"" face_with_tears_of_joyface_with_tears_of_joy"
1979,Who is here just to dislike the video of this mcface_with_tears_of_joy
859,105 chutiyas so far....
267,This is the best Roast I have had ever seen  in YouTube.... I loved it... If kunal is Sashi Tharoor then Carry minati is  sambit patra
636,If just giving slangs is not a roast then nither is OHHHHHHHHHH a roast.
477,it takes iq to understand the meaning of the roasting you did bro.....carryminati ki gaali se bhari roasting ko accha kehne wale nahi samjhege..........and i am 200 percent sure kunal ...u did  a way better roasting than carry...........................................really nice
1729,Binod
506,Ur awesome and insane
738,"if ""udta teer lena"" had a facebow_and_arrow"
1507,"Bhai tere like se jyada toh comment hai....face_with_tears_of_joy
And engagement toh bohot sara mila.
Carry k naam se bht paise kama liyeface_with_tears_of_joy.
But roasting ekdm tatti hai.,.."
1682,Tel laga Lena Kunal chomu tera karma aane Wala h face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
562,"Kunal Kamra adding ""ohhhhh"" effect after every five seconds
And be like: I have achieved comedy"
2108,Isse roast krna nhi hagna khte hai apne upr hiface_with_tears_of_joyface_with_tears_of_joyfame k liye ye sb grow up manman_shrugging_medium-light_skin_tone
1277,Bhai how I missed on this track this is so fuckin dope.
28,"O bhai, landdhari Barbie face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyrolling_on_the_floor_laughingrolling_on_the_floor_laughing"
2062,Kyu ata h bezzati Karwane bhaiface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1369,f**k
1683,Most disliked video in the History rolling_on_the_floor_laughing
38,red_heartface_with_tears_of_joyface_with_tears_of_joy
1781,Carry ki fans ki acchi sa jali h dislike dekh Kar pata chala hface_with_tears_of_joy
1295,"It is like teaching teacher to teach
Isse aacha to apne gaon wale tau ji roast krte hai"
145,Aapke liye big shaadi lekar aaye ho India Bharat ki gaddi par baitha Baap tumhara Modi hai India
1139,U Failed dude!! Better luck next tymface_with_tears_of_joy
1156,2.5 m dislikes face_with_tears_of_joyface_with_tears_of_joy
884,"प्रश्न - Kunal Kamra के कितने बाप ?
उत्तर  Carryminati, मैं और आप.

face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
1416,REAL ROAST!!!
798,rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
814,This almost makes Amir Siddique seem like he's got talent........ I said 'almost'!
329,This video shows how desperate kunal is to get into the controversy
783,Yeh Kunal Kamra roast hai Kyaface_with_tears_of_joyface_with_tears_of_joy
457,Beta aaukat main my fav carri
1506,aaja beta kunal tujhe carry ki power dikhaye
551,"2.4 million dislikes 
 Me to other audience: Ma chod diye bhaiyaji aap toh face_with_tears_of_joy"
1504,Chewing gum ya lora rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing epic line
1906,79 bhakt
284,man_facepalming_light_skin_toneman_facepalming_light_skin_tonetu sachmain 200 rupey main bikegha mithai ke dukan pea kunal kamra
543,"Shopify gift cards: depending if you use virtual gift cards, a gift card app or a physical gift card. 

We sell a few types for my business, we sell physical to use in our brick and mortar and also virtual gift cards through Shopify’s virtual gift card offering. we get the money when they purchase physical gift cards, virtual ones are in Shopify limbo i believe. 

The tough part is at the beginning of Covid, physical gift cards were huge “liabilities” because we had around $250k usd in gift cards floating around and they were all being used to purchase products so our cash flow was totally fucked. We could make $50k in sales but only receive $10k deposits to the bank since most of it was not actual tender lol. So we were essentially losing money for that time since we already “sold the product before hand”."
31,baap ko sikhayega face_with_tears_of_joy
349,"""""""Who found oxyzen and start breathing breathing randomly are real, real legends""""""heart_suitheart_suitIndia"
470,The utter desperation to revive ur career as a comic has proved as useless as this failed attempt to try and make someone laugh. Press F to pay respects to Kunal kamra coz even he couldn’t find the funny in his video
626,"Kunal = loda  , kamra = lasan ab shabad jodiye friends"
268,"Modi ka jola, lalit Modi, nirav Modi 
Se heavy hoga,"
1155,"Jabardasti ka 'OHOHOHOHO' kon lagata hai apne video me..
Jalne ki bhi hadd hoti hai, Itna nahi jalte, Beti..smiling_face_with_sunglasses"
520,Pakistan's economic crisis will increase further and eventually Pakistan will dissolve and 3-4 new countries will form.
1528,finally i understood that.
998,See the dislikes face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1003,"Kiu re roast kar ne chala tha 
Khud hi roast ho gaya mc face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
1418,Kunaal faltu mai khudki hand marane aa gaya face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
76,Seeeeeeedhe baat //BETE TU JALTA HE USSE//
492,Scary new video love Thana by joginder ke upar dekho kitne Kali de raha
1941,"Abbé tu appne aukad dhake  1million carry sir 31million 
Mantel sala"
233,ooooooOooooOoOOOOOOOOOOOOOOOOOOOOOO
1044,are carry bhai.. is dhechu ka nasha utaro yar rolling_on_the_floor_laughing
94,"No dislikes, will surely be a good video"
1723,Kunal bhai saram nahi aati baap ko beta bolte hueface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1591,7:17 pr yes yes ese kr rha h jese carry teri khol kr bajadi ho..mcface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
273,"*First-ever roast in my life* ...

*I didn't laugh at all*
*My face was like* neutral_face"
1889,"2.5 dislike 


OOooohhhhhhhhhhhhhhhhhhhface_with_tears_of_joyface_with_tears_of_joy"
1917,Carry ki next roast video m aapka bhi swagat haiiface_with_tears_of_joyface_with_tears_of_joy
1215,"Kunal is getting jealous of carry.... 
Feeling very bad fr kunal"
1806,Beta pahle roast krna seekh ke aa apne baap Carry se! face_with_tears_of_joy
1494,One of the best thing about dude is that he never takes credit for himself when he archives something and his team and he is polite in all his videos . We congratulate ourselves on this achievement . More to comered_heartred_heart
1148,यह सवाल पूरा हिंदुस्तान पूछ रहा है कि क्या सच में प्रधान सेवक ईमानदार पत्रकार का डर लगता है..face_with_tears_of_joyface_with_tears_of_joyfolded_hands
1742,Binod
1062,"Sony max :- दिवाणा बना दे
YouTube:- life बना दे
Tick tock:- छक्का बना देface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
833,"Dislikes are 6 times the like....
Meanwhile me - aur bhai kaisi lagi , aa gaya swaad ah"
1205,thumbs_upthumbs_upthumbs_upthumbs_up
1722,Kamra ji mubarak ho... Dislike count gayeb ho gya... Just like your comedy..grinning_face_with_sweat
1355,Bhai aaj Kal na kasam se bol raha hun koi game mein log trade karke legendary pet mangte hai or ham mana kar dete ha tab log bol te hai 'I m a mulle' boys be like- kuch ijjat hi nhi hai yargrinning_face_with_sweat
1563,More dislike than his subscribers rolling_on_the_floor_laughing
2078,Iski himmat apni shakal dikhane ki nahi thi video mein face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1770,Kahan raja bhoj kahan gangu teliface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
354,"Beta bap ko rost kar raha hey
Bap ko mat sikha roasting(carry)"
185,Binod
1731,2 M dislikes... Hahaha. Ye to record banayega..besharm
1116,"BECHO JALEBI PAKODA 
party driven by 
RSS GUNDA'S"
1521,03:05
289,"folded_handsfolded_handsएक बार पूरा जरूर पढ़ना दोस्तों,
किसी ने मुझे चैलेंज किया है कि तुम हिन्दुओं मे एकता नहीं है, तुम चाहे किसी भी भगवान का कसम दे दो और मुझे 1 महीने 1 k subscriber कर के दिखा, तो मैं मानूंगा की तुम मे एकता है, तो जो भी भाई मेरा कमेंट देख रहे हैं, क्या आप लोग मेरा साथ दोगे तुम्हें भगवान राम की कसम folded_handsfolded_hands"
98,I think that u can break the record of highest dislikes on YouTube
871,Kamra kaash tere baap ne uss raat #Nirodh laga li hoti rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
93,He is right
164,"Literally like this video now, I understand it flexed_bicepsflexed_biceps."
1803,today i watch dis video again  {kamra was right}
168,"I always thought Kunal pe log case kyu karte rehte hain???

Phir Maine uski stand up dekha aur socha maine ab tak FIR darj kyu nahi Kara??"
676,*The video has more dislikes than the hair on his head* face_with_tears_of_joyface_with_tears_of_joyrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
739,Ye Kya dekha Maine .... Need sanitization kamrona virus grinning_face_with_sweatface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1897,Aja kunal beta tere sar le bal ugae face_with_tears_of_joy
45,"i would ask ravish kumar "" has he ever asked a question to sonia gandhi, that how could so many scams happen in her regime""...or has he even the guts to do so"
792,When you realize dislikes are more than subs
1235,"Fun Fact: 
In few hours this video will have more 
dislikes than this channel’s subscribers!"
87,Jhaatu kamra face_with_tears_of_joy
2119,"Kamra knows no one will laugh on this so he himself put a ""wohooo"" after every attempt to roast"
1543,face_with_tears_of_joy dislike face_with_tears_of_joy most dislikes videos me 3 no per he ye face_with_tears_of_joy
828,Binod has been killed
1181,Koi news hi de do jhopdi walo
987,Bhai jo bhi sahi ho lekin sach toh yeh hai ki aapke subscribers se zyada aapke iss video pe dislikes hain
641,oye crandeep face_with_tears_of_joy
67,What is the number of dislikes for this video now? Any guesses?
1345,7:09 carry got 2M likes and you got 2M dislikes face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
528,after getting 2m dislikes you have been selected to study in MOSCOW for 6 years
1958,"Amir: M sbse acha udta teer leta hu






Kunal: Hold my beerrolling_on_the_floor_laughingrolling_on_the_floor_laughing"
1639,Roasted Himself
171,"Carryminati level alag hai firefire 
       Bhai tera baap hai vo"
896,"Carry minati - finally it's over
Amir siddiqi - peecha chuta BC
Kunal kamra - me udta teer gand me lungaaface_with_tears_of_joyrolling_on_the_floor_laughingface_with_tears_of_joy"
55,kamra roast ka baap hain
835,if you really got the nuts try to comment on religion of peace or religion of love...aukaat pata chal jaegi apni bhai tujhko....
1943,Every second ohh.. hasna tha kya.. face_with_tears_of_joy
1656,"Is video tuje chaiye 2.5 M dislikes


Ohhhhhhhhhface_with_tears_of_joy"
1626,"Boycott tik tok, who hate tik tokthumbs_up"
1111,"this is indirectly insulting Gujrati,  but Gujarati is Great community."
2123,Not even a giggle on this roast! Aur gareeb ke Bache acha Mic (edited) lele Kuch sunayi nhi deraha tha.
137,"Ohhhhastonished_faceastonished_faceastonished_faceastonished_faceastonished_faceastonished_face
rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing"
19,rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughinglove-you_gesturelove-you_gesturelove-you_gesturelove-you_gestureOK_hand
1265,"Shutting Arnob Goswami on flight is much better than the whole career of Carry Minati :(
It needs balls of steel to talk out of your YouTube studio"
1069,face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joydislike kiya mene
2053,"A famous man once said, ""Karma is a *****.""
I say, ""Kamra is a *****."""
2130,"6:15 Bhai apna to tiktok ki marli                                         
⠀⣰⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⡀
⣾⣿⣿⣿⠿⠿⠟⠻⠿⢿⣿⣿⣿⡆

⢰⣿⣿⡿⠂⠀⠀⠀⠀⠀⠀⠈⠉⢻⡇

⠈⠿⣿⣇⣠⠤⠤⠤⢤⣀⣤⠤⠤⣺⡏

⠀⠐⢉⣯⠹⣀⣀⣢⡸⠉⢏⡄⣀⣯⠁

⠀⠀⠡⠀⢹⣆⠀⠀⠀⣀⡀⡰⠀⢠⠖⠂

⠀⠀⠈⠙⣿⣿⠀⠠⠚⢋⡁⠀⡜ 

⠀⠀⠀⠀⢸⠈⠙⠦⣤⣀⣤⣤⡼⠁ 

⠀⠀⠀⢀⡌⠀⠀⠀⠀ ⠉⢏⡉ 
⠀⣀⣴⣿⣷⣶⣤⣤⣤⣴⣾⣷⣶⣦⡀
 
⢀⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣄
⠚⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛⠛
Edited-Thanks for 1 LIKE"
1717,"Change the thumbnail, it’s a fking disrespect to our President"
314,Hagg diya yarr in logo ne ( subs )
603,Me to Abba Kader ___ Chüdêl çhød diye abba ji aap toh face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
726,Creating a video out jealouslyrolling_on_the_floor_laughing
973,Lol I see 1.96m subs but 2.5m dislikes.....Kunal made such an awfully impossible and contemptous feat possible.
1392,Good Work Kunal Kamrared_heartindex_pointing_upindex_pointing_up
1383,"The passion while saying ""lawda"" is one of the golden moments of this video"
649,"Dear carry,
                       It's our bad luck winking_face_with_tongue that you don't understand Telugu because you missed scarp of Telugu tik tok silly celebrities. loudly_crying_facegrinning_face_with_sweat.
200% worst bakchodi walakoo dheka lockdown ka time'rolling_on_the_floor_laughing"
702,"LOVE ME HE RE MORES.BABy

Megan: ''Hotter''
Hopi: ''Sweeter''
Joonie: ''Cooler''
Yoongi: ''Butter''
Хочется улыбаться от этой песни и клипа! Джин, ты супер!"
1380,"Kunal kamra is sooooo famous 

That he was even denied entry to GB Road

(Just saying.... He don't go there... He love Ladyboys not Lady)"
669,thumbs_upthumbs_upthumbs_upOK_handOK_handOK_handOK_hand
564,Carry ko 2-3 million like mile na mile tujhe 2.5million dislike  jarur milgaye
277,Kunal kamra's stand up show feels like 2 or more grandpa's debating about political issues
1760,"ye roast tha?
... uh ok"
460,Bhai pura desh ki economy gir rhi hai.....yha youth cutiya gya hai....tiktok or YouTube me laga hua hai.......carryminati biggest inspiration of youth.
1977,"Next possible thing is....

Kamra going to SC to have checked Amit Shah for being his biological father"
347,BHAI PAKISTAN CHALE JA NA.....
120,"Aik hath Mai jio, Aik hath Mai g**nd.....wah kya seen hai"
945,"Aese log wohi ho te hain jo apne hi joke par has te hain, chahe samne wala hase- na hase face_with_tears_of_joyrolling_on_the_floor_laughing"
1650,Fun part is at 11:11
716,Wow 422K likes? Must be a great video!!!
293,"Just one question he can ask to any of these diggez..jinke pravchan inhone sunney hain...but never asked..
1. Akhilesh/Mulayam- kahaan se aaye itney paise...muzafarpur me uttarakhand ki mahilaaon ke saath jo rape kiya tha SP karyakartaaon ne lead by Mulayam me uska kya. Kaise gaaon kr gaaon 10th me paas kiye jaatey they votes ke liye.10th me Voting age tak aa jaatey they fail ho ho ke.
2. Mayawati- ek bhi statue ka kuchh puchh ho.
3. Rahul Gandhi- kuchh bhi puchh lo...ussey kuchh nahi pata.
4. Laloo- bihar ka hi hisaab maang leta..uska khud ka pradrsh tha.
5. Mamta- kaise democarcy ka galaa ghonta jab khud pe cartoon bana..

Sirf ek sawaal kisi bhi above se puchh leta...chalo Manmohan ya Soniya se puchh leta..Modi..koi Aadi kaal se nahii hai kursi pe.
Haan magar jause barkha dutt ne maana hai ki kuchh reporters jinko vip suvidhaayein milti thi..kunbey ke saath wo band ho gai hain...aur uska malaal hai."
210,"Kunal after adding ohh every five seconds.
""Comedy banaea bara maaza aea"" 
Are zyada ungli mat karo, carry mar dega tumhari"
2060,Oh bhai 2.4 million dislike pahunch gaya. Gazab. 3 karo ab
1352,"thank you  :D. I say ""F**k ELON!!!"" also  :P"
2009,Don’t teach father how to make sonsmiling_face_with_sunglasses
1942,I thought you are neutral...but i forgot you are indian media which are never neutral...
848,Itna majaa nhi aaya honestly
1038,hats off to u if u still come here to watch this funny so called chutiya roasting shit
1384,One of the best thing about dude is that he never takes credit for himself when he archives something and his team and he is polite in all his videos . We congratulate ourselves on this achievement . More to comered_heartred_heart
1200,"Carry's Subscribers 20 M and This Khali Kamra's Subscribers 1.67 M...
Aukat me Reh Be Chutiye..."
449,"Ye bancho youth hamara dekh kya raha hai, ye channel 10 million subscriber deserve karta hai."
70,"I am bangladeshi hindu BangladeshBangladesh,,,we a hindu Rastriya"
305,carry minati be like:baap ko ch*dna ni sikhate face_with_tears_of_joy
942,Now donkey will tech a horse how to runface_with_tears_of_joyface_with_tears_of_joy
297,Video is good but u should know who u r frying beaming_face_with_smiling_eyesface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
842,"Kamra be like - I tell you what is roasting , carry fans be like I tell you what is power of carry fans face_with_tears_of_joy"
1975,"I wanted to unsubscribe him after this vedio, but wait I realized I haven't even subscribed!
Ooohhhhh!rolling_on_the_floor_laughing"
961,"Roasting in a parallel universe because in this world ""ye to tatti hai""shushing_face"
463,10:22 2.5 million parhe likhe jahil omgface_screaming_in_fearrolling_on_the_floor_laughing
1607,Y did you hide dislike rolling_on_the_floor_laughingrolling_on_the_floor_laughing....Btw by looking all the comments  i can clearly said that you are roasting yourself rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
614,More dislike than his subscribers rolling_on_the_floor_laughing
1333,Finally he got his 3rd subject after modiji and his friend from flight face_with_tears_of_joyface_with_tears_of_joy
851,Like    comment     subscribe    and fuck off motherfucker
1118,Binod
456,Mujhe koi aisa video kaa link bhejo jisme bucket kumar ( ravish kumar) ne man mohan singh yaa fir sonia gandhi  kaa interview kiya ho  .
97,"Just came here to dislike ,,,, face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy. I already know that the ""content"" is ""Tatti-Inside"". #CarryRocksnerd_face"
1774,122K dislikes...Andhbhakts... face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
539,Roast to kamra ka pichwada ho gaya!!!
1070,Sudhir Chaudhary th tv par chatta hai modi ka0:25rolling_on_the_floor_laughingrolling_on_the_floor_laughing
1782,crying_facecrying_facecrying_facecrying_face ye gandu video hai
1831,"Bhai Tum Standup comedy mei hi raho, roast karna xod do .. waise Carry vi roast k naam pe Gaali hi deta hai .. Both are cringe relieved_face"
639,Very funny video
422,t
1695,"video toh kitni ghatya hai wo toh already memes se pata chalgaya tha, hum toh asal mein yaha comments hi padne aaye hai....rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing...
dislike toh upload ke waqt hi kar diya tha....grinning_face_with_smiling_eyesrolling_on_the_floor_laughing"
396,"Fan following dekh betha tere puri life me tuje jitne like n mile us se jyda life  dislikes mil gye baap baap hota h

Full support carry minati"
648,The fun part is kunal roasted  without single abuse face_with_tears_of_joy
169,"Yes gujarati are sweet but
 you don't  know 2002 ghodhra kand smiling_face_with_horns don't  underestimate Gujarati by his nature angry_face_with_hornssmiling_face_with_hornssmiling_face_with_hornssmiling_face_with_horns"
2024,Who is here after this content is age restricted face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1258,Hahahaha ye hai koun lodha kamraface_with_tears_of_joyface_with_tears_of_joy
405,424k people have intelligence and intellectual thinking.
1420,"Bhai kamra..tumse na ho paygaa..!!

Bjp ko raajneeti..
Arnab ko chillana( reporting)
Aur ""carry"" ko roast krna mat sikhana..rolling_on_the_floor_laughingrolling_on_the_floor_laughing.
Tumse na ho payi."
26,Gali gali me charcha hai Kunal Kamra bharwa hai face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1450,Kunal kamra after getting 2M dislikes be like: roasting barbaad behchodface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
680,"Ye to Tatti h 
face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
1201,This was a good video.
1617,Finally Faisu Didi ka record Tod Diya...rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
813,Congratulations For 2M Dislikes thumbs_downface_with_tears_of_joygrowing_heart
727,"Hame ak lakh ki jarurt hai 
Carry bhai kya loan doge bhaiface_with_rolling_eyes"
189,Sale joke sikhle face_with_tears_of_joy
714,"When life gives you kunal. 
Be deo ke ad wala kunal, not kamra"
1049,This video got near about 6 lakh dislikes rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
1598,Now we know ki youtube ne dislike button kyu hataya
453,10:23
309,oye crandeep face_with_tears_of_joy
787,Amazing sirrrrclapping_handsclapping_hands
1569,Kisi ghatiya news channel mein kuch tucchey anchors ke saamne sher ban gaya! Hahaha
642,Binod
502,"After getting 2M dislikes
Everyone to kunal kamra:- Aur Bhai, Aagya swaadface_with_tears_of_joythumbs_up"
1700,2.1 minutes.  लोकतंत्र में मीडिया चौथा खंबा है।फिलहाल अभी तो मोदी शाह ने लोकतंत्र के रास्ते में अपने अपने खंबे रखकर रास्ते जाम कर दिये हैं।
663,1 year back kunaal was suffering from financial crisis so he used it like dislike doesn't matter revenue to generate hoga hi #crisisSolved brilliant kunaal
602,Ghanta roast h yeh.......rolling_on_the_floor_laughing carry hi thik h.....yeh video ka na sir h na pair h
1522,"Kunal: Ye YouTube ka haal dekh ke mereko TikTok pe jaane ka mann ho rha hai.
YouTube: Pehli fursat me nikal @#$%^&
face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
525,"ur funny 



















funny looking 
Ohhhhhhhhhhhhh"
892,Asman me udta HA kite...jamin pe sala teri kharidne ki aukat nahi ha bike..SO CARRY KE NAJAYAS BETE PLEASE KEEP QUITE
2019,"You spent 10 mins writing this content and used 11:34 minutes to  express, must be difficult to accept them as jokes for yourself! face_with_tears_of_joy"
1912,UNFOLLOWWWWWWWWWWWWWWWWWWWWWWWWWWWW ANJALI PLZZZZ
675,Who's watching in March 2022-- tera baap
1536,GOOD JOB
29,This was an epic end to kamra's career
1377,Dislikes says all face_with_tears_of_joyface_with_tears_of_joy
311,Chapri YOUTUBER BHadva AGAYAGA
501,Successfully wasted 12 mints of my lyf on this taklarolling_on_the_floor_laughingrolling_on_the_floor_laughing
855,Sirf oohhhh dalne se roast nahi hota..... Carry tera baap hain
778,Bhai aapane Gujarati  ke insult ke  Ha... face_without_mouth
1291,"Not a carry fan but really the worst roast in the history of YouTube 
The only thing in the video is 
Ohhhhhhhhhhhhhhh"
196,Kunal Kamra...who don't know how many fathers he has
747,7:29 tou jao na hum bhii pareshan hain aur woh bhii ja na
335,Bs ek line face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyApne baap ko sikhaayega
1552,I am a Carry fan but Kamra's roast is so logical .. He reminds me of AIB.
264,"Kamra roasting Carry

Indians be like :- Chal Chal Apne Baap Ko Maat Sikha"
1367,Carry ki keh kr leli Bhai ne...face_with_tears_of_joy
759,Kunal krma is so happy becouse youtube have given option to hide dislike
1978,Bachhe he.. chutiya nahiface_with_tears_of_joytrophy
1125,"Bete carry se bhidega toh like se jyada dislikes milengee.... 
Toh aacha hai ki baap baap rhe aur beta beta rhe...."
790,Binod
221,"bs dekhne Aya tha 20 lakh logon se marvane ke baad,               "" wo "" dikhti kaisi hai face_with_tears_of_joy"
1361,जब अंदर के सारे कीड़े मार जाते है तब अमेजन वाला दूसरा season लाते है
2046,Ganja Pagal ho gaya hai
1288,Full Video is of ooooooohhhhhhhhhhhh Memeface_with_tears_of_joyface_with_tears_of_joy Ye kya bavasir bna diyaface_with_tears_of_joy
2081,"Well i am the first one to comment. But i seriously expected it to be a romantic song :'( 
Munawar would get away by saying, ""Mai pehla gujarati nai hu jo itna jhooth bolta hai"""
382,Binod
